PointOrder,Latitude,Longitude
356,55.767222,108.943333
357,55.771389,108.942222
358,55.775556,108.941111
359,55.779722,108.940000
360,55.783889,108.938889
361,55.788056,108.937778
362,55.792222,108.936667
363,55.796389,108.935556
364,55.800556,108.934444
365,55.804722,108.933333
366,56.0475,    109.2022
367,56.0622,    109.3450
368,56.1692,    109.4317
369,56.2117,    109.4325
370,56.2323,    109.3517
371,56.2250,    109.3333
372,56.1373,    109.4475
373,56.1201,    109.6491
374,56.2167,    109.8431
375,56.2140,    110.0372
376,56.1833,    110.0883
377,56.2001,    110.5836
378,56.1301,    110.9172
379,55.9583,    110.4547
380,55.9264,    110.4550
381,55.9417,    110.4972
382,55.7833,    110.8633
383,55.7806,    111.0056
384,55.7039,    111.0906
385,55.6564,    111.3172
386,55.5731,    111.3172
387,55.5397,    110.3372
388,55.4706,    110.3703
389,55.4397,    110.3386
390,55.4036,    110.5356
391,55.3772,    110.5369
392,55.2897,    110.5369
393,55.2247,    110.3036
394,55.1953,    110.4028
395,55.1833,    110.8139
396,55.1217,    110.7939
397,55.1053,    110.7939
398,55.0806,    110.5317
399,54.9006,    110.5781
400,54.9006,    110.5781
401,54.9006,    110.5781
402,54.9006,    110.5781
403,53.59944,109.45056
404,53.57222,109.53361
405,53.45139,109.60167
406,53.00700,108.80194
407,52.83722,109.05333
408,52.83722,108.52028
409,52.45444,107.95306
410,52.57611,107.85806
411,52.53972,107.95639
412,52.77167,107.85889
413,52.80583,107.85944
414,52.87167,107.85889
415,52.87083,107.85889
416,52.87278,107.85917
417,52.87278,107.85917
418,52.87056,107.85917
419,52.87111,107.85917
420,52.53944,107.69333
421,52.50278,107.35278
422,52.49278,107.33583
423,52.06472,106.69472
424,52.06139,106.68472
425,52.05639,106.64861
426,52.05611,106.6475
427,52.05611,106.64917
428,52.05611,106.64972
429,52.04306,106.56861
430,52.01,    106.43556
431,52.07889,106.2075
432,52.04972,106.60611
433,52.01306,106.60611
434,52.04972,106.605
435,51.99778,106.54083
436,51.99667,106.54083
437,51.99611,106.57917
438,51.99361,106.54861
439,51.99083,106.5225
440,51.98528,106.53639
441,51.97472,106.57278
442,51.97444,106.54556
443,51.97361,106.51306
444,51.97333,106.51194
445,51.97306,106.54444
446,51.95194,106.58583
447,51.91861,106.43167
448,51.96333,106.42167
449,51.99056,106.43639
450,51.28333,106.17944
451,51.26083,106.17444
452,51.26083,106.16944
453,51.27028,106.15028
454,51.27167,106.17083
455,51.25333,106.17556
456,51.25111,106.17722
457,51.26167,106.18056
458,51.23528,106.20639
459,51.22667,106.28583
460,51.23056,106.24556
461,51.20222,106.39611
462,51.14639,106.51306
463,51.13944,106.54611
464,51.135,    106.56944
465,51.22056,106.73972
466,51.28611,106.75778
467,51.35333,106.77806
469,51.27806,105.44444
470,51.27806,105.46611
471,51.24556,105.46556
472,51.245,    105.49583
473,51.22694,105.49556
474,51.22611,105.48722
475,51.2275,    105.47111
476,51.22778,105.45389
477,51.13194,105.44389
478,51.24722,105.03083
479,51.23722,104.95444
480,51.23806,104.95444
481,51.11611,104.82333
482,51.11611,104.75694
483,51.10222,104.77167
484,51.23694,104.95444
485,51.11611,104.75111
486,51.11611,104.75
487,51.11611,104.74833
488,51.11472,104.76389
489,50.89444,103.92083
490,50.89,    103.99806
491,50.90389,104.00583
492,50.93278,103.95083
493,50.95833,103.62167
494,50.9825,    103.62056
495,51.04806,103.61944
496,51.04361,103.56833
497,51.03583,103.55167
498,51.04222,103.535
499,51.06306,103.555
500,51.06306,103.5425
501,51.06306,103.54444
502,51.06278,103.56167
503,51.06306,103.56778
504,51.06306,103.61333
505,51.12222,103.30944
506,51.10361,103.41833
507,51.065,    103.26833

